START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
137.663,121.90
137.790,122.00
137.918,122.10
138.047,122.20
138.177,122.30
138.306,122.40
138.435,122.50
138.562,122.60
138.690,122.70
138.818,122.80
138.947,122.90
139.075,123.00
139.205,123.10
139.337,123.20
139.469,123.30
139.601,123.40
139.732,123.50
139.862,123.60
139.992,123.70
140.122,123.80
140.253,123.90
140.384,124.00
140.515,124.10
140.647,124.20
140.778,124.30
140.909,124.40
141.038,124.50
141.165,124.60
141.293,124.70
141.421,124.80
141.550,124.90
141.678,125.00
141.806,125.10
141.936,125.20
142.065,125.30
142.192,125.40
142.319,125.50
142.444,125.60
142.570,125.70
142.695,125.80
142.822,125.90
142.948,126.00
143.075,126.10
143.203,126.20
143.330,126.30
143.456,126.40
143.581,126.50
143.704,126.60
143.828,126.70
143.952,126.80
144.076,126.90
144.201,127.00
144.326,127.10
144.452,127.20
144.578,127.30
144.703,127.40
144.827,127.50
144.949,127.60
145.072,127.70
145.194,127.80
145.318,127.90
145.442,128.00
145.566,128.10
145.691,128.20
145.816,128.30
145.939,128.40
146.061,128.50
146.182,128.60
146.303,128.70
146.424,128.80
146.545,128.90
146.666,129.00
146.787,129.10
146.908,129.20
147.029,129.30
147.149,129.40
147.268,129.50
147.386,129.60
147.503,129.70
147.622,129.80
147.741,129.90
147.860,130.00
147.979,130.10
148.099,130.20
148.219,130.30
148.337,130.40
148.455,130.50
148.572,130.60
148.689,130.70
148.807,130.80
148.924,130.90
149.041,131.00
149.159,131.10
149.279,131.20
149.398,131.30
149.517,131.40
149.636,131.50
149.755,131.60
149.873,131.70
149.992,131.80
150.112,131.90
150.232,132.00
150.351,132.10
150.472,132.20
150.593,132.30
150.713,132.40
150.833,132.50
150.952,132.60
151.072,132.70
151.191,132.80
151.311,132.90
151.431,133.00
151.551,133.10
151.672,133.20
151.793,133.30
151.913,133.40
152.032,133.50
152.150,133.60
152.268,133.70
152.387,133.80
152.505,133.90
152.624,134.00
152.743,134.10
152.864,134.20
152.985,134.30
153.105,134.40
153.226,134.50
153.345,134.60
153.465,134.70
153.585,134.80
153.706,134.90
153.826,135.00
153.947,135.10
154.069,135.20
154.191,135.30
154.312,135.40
154.433,135.50
154.553,135.60
154.672,135.70
154.792,135.80
154.913,135.90
155.034,136.00
155.156,136.10
155.278,136.20
155.400,136.30
155.522,136.40
155.643,136.50
155.762,136.60
155.882,136.70
156.002,136.80
156.122,136.90
156.243,137.00
156.364,137.10
156.486,137.20
156.608,137.30
156.728,137.40
156.848,137.50
156.967,137.60
157.085,137.70
157.204,137.80
157.324,137.90
157.444,138.00
157.564,138.10
157.686,138.20
157.807,138.30
157.927,138.40
158.047,138.50
158.166,138.60
158.284,138.70
158.403,138.80
158.522,138.90
158.641,139.00
158.760,139.10
158.881,139.20
159.002,139.30
159.122,139.40
159.243,139.50
159.362,139.60
159.482,139.70
159.602,139.80
159.722,139.90
159.843,140.00
159.964,140.10
160.086,140.20
160.208,140.30
160.328,140.40
160.448,140.50
160.567,140.60
160.686,140.70
160.806,140.80
160.926,140.90
161.046,141.00
161.167,141.10
161.289,141.20
161.411,141.30
161.532,141.40
161.652,141.50
161.771,141.60
161.891,141.70
162.010,141.80
162.130,141.90
162.250,142.00
162.371,142.10
162.493,142.20
162.615,142.30
162.737,142.40
162.859,142.50
162.980,142.60
163.101,142.70
163.222,142.80
163.344,142.90
163.465,143.00
163.587,143.10
163.710,143.20
163.834,143.30
163.957,143.40
164.081,143.50
164.203,143.60
164.326,143.70
164.449,143.80
164.573,143.90
164.696,144.00
164.821,144.10
164.947,144.20
165.074,144.30
165.200,144.40
165.327,144.50
165.453,144.60
165.579,144.70
165.705,144.80
165.832,144.90
165.959,145.00
166.086,145.10
166.214,145.20
166.343,145.30
166.470,145.40
166.596,145.50
166.721,145.60
166.845,145.70
166.969,145.80
167.094,145.90
167.218,146.00
167.343,146.10
167.469,146.20
167.596,146.30
167.724,146.40
167.851,146.50
167.977,146.60
168.103,146.70
168.230,146.80
168.357,146.90
168.484,147.00
168.613,147.10
168.742,147.20
168.872,147.30
169.002,147.40
169.133,147.50
169.263,147.60
169.394,147.70
169.525,147.80
169.656,147.90
169.787,148.00
169.918,148.10
170.051,148.20
170.184,148.30
170.315,148.40
170.446,148.50
170.575,148.60
170.703,148.70
170.830,148.80
170.958,148.90
171.085,149.00
171.212,149.10
171.340,149.20
171.469,149.30
171.596,149.40
171.721,149.50
171.846,149.60
171.971,149.70
172.095,149.80
172.221,149.90
172.347,150.00
172.473,150.10
172.601,150.20
172.728,150.30
172.854,150.40
172.980,150.50
173.104,150.60
173.229,150.70
173.354,150.80
173.479,150.90
173.605,151.00
173.731,151.10
173.858,151.20
173.985,151.30
174.113,151.40
174.240,151.50
174.367,151.60
174.493,151.70
174.620,151.80
174.748,151.90
174.875,152.00
175.004,152.10
175.134,152.20
175.265,152.30
175.395,152.40
175.525,152.50
175.654,152.60
175.784,152.70
175.913,152.80
176.043,152.90
176.173,153.00
176.304,153.10
176.436,153.20
176.568,153.30
176.700,153.40
176.834,153.50
176.966,153.60
177.099,153.70
177.231,153.80
177.363,153.90
177.494,154.00
177.627,154.10
177.760,154.20
177.893,154.30
178.025,154.40
178.156,154.50
178.285,154.60
178.415,154.70
178.545,154.80
178.675,154.90
178.806,155.00
178.936,155.10
179.069,155.20
179.200,155.30
179.331,155.40
179.461,155.50
179.589,155.60
179.718,155.70
179.847,155.80
179.977,155.90
180.107,156.00
180.237,156.10
180.369,156.20
180.500,156.30
180.630,156.40
180.759,156.50
180.887,156.60
181.014,156.70
181.142,156.80
181.271,156.90
181.400,157.00
181.528,157.10
181.658,157.20
181.788,157.30
181.916,157.40
182.043,157.50
182.169,157.60
182.294,157.70
182.420,157.80
182.547,157.90
182.673,158.00
182.801,158.10
182.930,158.20
183.059,158.30
183.188,158.40
183.316,158.50
183.444,158.60
183.572,158.70
183.700,158.80
183.829,158.90
183.957,159.00
184.086,159.10
184.215,159.20
184.344,159.30
184.473,159.40
184.600,159.50
184.726,159.60
184.852,159.70
184.978,159.80
185.104,159.90
185.231,160.00
185.359,160.10
185.488,160.20
185.618,160.30
185.747,160.40
185.876,160.50
186.004,160.60
186.132,160.70
186.260,160.80
186.388,160.90
186.516,161.00
186.645,161.10
186.776,161.20
186.906,161.30
187.037,161.40
187.167,161.50
187.295,161.60
187.424,161.70
