START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
192.354,122.20
192.488,122.30
192.626,122.40
192.764,122.50
192.905,122.60
193.047,122.70
193.187,122.80
193.328,122.90
193.468,123.00
193.608,123.10
193.748,123.20
193.889,123.30
194.034,123.40
194.179,123.50
194.326,123.60
194.473,123.70
194.620,123.80
194.766,123.90
194.911,124.00
195.057,124.10
195.200,124.20
195.345,124.30
195.492,124.40
195.639,124.50
195.790,124.60
195.941,124.70
196.090,124.80
196.239,124.90
196.386,125.00
196.534,125.10
196.681,125.20
196.830,125.30
196.983,125.40
197.136,125.50
197.291,125.60
197.446,125.70
197.599,125.80
197.751,125.90
197.901,126.00
198.052,126.10
198.202,126.20
198.353,126.30
198.507,126.40
198.662,126.50
198.818,126.60
198.975,126.70
199.131,126.80
199.286,126.90
199.440,127.00
199.594,127.10
199.749,127.20
199.905,127.30
200.066,127.40
200.229,127.50
200.395,127.60
200.563,127.70
200.733,127.80
200.902,127.90
201.071,128.00
201.241,128.10
201.410,128.20
201.583,128.30
201.760,128.40
201.942,128.50
202.128,128.60
202.317,128.70
202.505,128.80
202.694,128.90
202.882,129.00
203.068,129.10
203.253,129.20
203.439,129.30
203.632,129.40
203.828,129.50
204.028,129.60
204.227,129.70
204.420,129.80
204.610,129.90
204.795,130.00
204.973,130.10
205.145,130.20
205.315,130.30
205.485,130.40
205.654,130.50
205.822,130.60
205.989,130.70
206.152,130.80
206.311,130.90
206.468,131.00
206.623,131.10
206.777,131.20
206.933,131.30
207.092,131.40
207.251,131.50
207.412,131.60
207.572,131.70
207.730,131.80
207.886,131.90
208.041,132.00
208.195,132.10
208.349,132.20
208.504,132.30
208.663,132.40
208.823,132.50
208.984,132.60
209.144,132.70
209.303,132.80
209.462,132.90
209.618,133.00
209.774,133.10
209.928,133.20
210.083,133.30
210.242,133.40
210.403,133.50
210.566,133.60
210.730,133.70
210.892,133.80
211.052,133.90
211.210,134.00
211.367,134.10
211.523,134.20
211.681,134.30
211.843,134.40
212.006,134.50
212.170,134.60
212.335,134.70
212.497,134.80
212.659,134.90
212.819,135.00
212.976,135.10
213.132,135.20
213.289,135.30
213.448,135.40
213.609,135.50
213.770,135.60
213.931,135.70
214.091,135.80
214.250,135.90
214.408,136.00
214.565,136.10
214.722,136.20
214.881,136.30
215.043,136.40
215.205,136.50
215.367,136.60
215.526,136.70
215.684,136.80
215.839,136.90
215.992,137.00
216.143,137.10
216.293,137.20
216.444,137.30
216.597,137.40
216.751,137.50
216.906,137.60
217.060,137.70
217.213,137.80
217.366,137.90
217.517,138.00
217.668,138.10
217.819,138.20
217.970,138.30
218.124,138.40
218.279,138.50
218.435,138.60
218.589,138.70
218.742,138.80
218.893,138.90
219.043,139.00
219.191,139.10
219.338,139.20
219.484,139.30
219.633,139.40
219.781,139.50
219.929,139.60
220.076,139.70
220.222,139.80
220.367,139.90
220.511,140.00
220.653,140.10
220.796,140.20
220.940,140.30
221.088,140.40
221.237,140.50
221.386,140.60
221.537,140.70
221.687,140.80
221.837,140.90
221.985,141.00
222.134,141.10
222.282,141.20
222.432,141.30
222.586,141.40
222.741,141.50
222.899,141.60
223.058,141.70
223.216,141.80
223.373,141.90
223.529,142.00
223.685,142.10
223.841,142.20
223.999,142.30
224.161,142.40
224.326,142.50
224.492,142.60
224.659,142.70
224.824,142.80
224.988,142.90
225.151,143.00
225.314,143.10
225.476,143.20
225.639,143.30
225.806,143.40
225.976,143.50
226.148,143.60
226.318,143.70
226.486,143.80
226.651,143.90
226.814,144.00
226.977,144.10
227.139,144.20
227.303,144.30
227.472,144.40
227.641,144.50
227.813,144.60
227.984,144.70
228.154,144.80
228.323,144.90
228.492,145.00
228.662,145.10
228.833,145.20
229.007,145.30
229.187,145.40
229.370,145.50
229.557,145.60
229.746,145.70
229.935,145.80
230.125,145.90
230.314,146.00
230.504,146.10
230.695,146.20
230.891,146.30
231.093,146.40
231.300,146.50
231.507,146.60
231.711,146.70
231.910,146.80
232.105,146.90
232.291,147.00
232.472,147.10
232.648,147.20
232.823,147.30
232.998,147.40
233.170,147.50
233.342,147.60
233.511,147.70
233.676,147.80
233.837,147.90
233.995,148.00
234.151,148.10
234.305,148.20
234.459,148.30
234.617,148.40
234.775,148.50
234.934,148.60
235.093,148.70
235.249,148.80
235.405,148.90
235.559,149.00
235.713,149.10
235.868,149.20
236.024,149.30
236.185,149.40
236.345,149.50
236.506,149.60
236.667,149.70
236.826,149.80
236.983,149.90
237.138,150.00
237.292,150.10
237.445,150.20
237.599,150.30
237.755,150.40
237.911,150.50
238.066,150.60
238.221,150.70
238.373,150.80
238.524,150.90
238.671,151.00
238.819,151.10
238.966,151.20
239.113,151.30
239.263,151.40
239.413,151.50
239.564,151.60
239.716,151.70
239.865,151.80
240.014,151.90
240.161,152.00
240.307,152.10
240.453,152.20
240.599,152.30
240.748,152.40
240.898,152.50
241.049,152.60
241.200,152.70
241.351,152.80
241.501,152.90
241.650,153.00
241.799,153.10
241.948,153.20
242.098,153.30
242.251,153.40
242.403,153.50
242.554,153.60
242.705,153.70
242.854,153.80
243.003,153.90
243.150,154.00
243.297,154.10
243.442,154.20
243.589,154.30
243.739,154.40
243.889,154.50
244.042,154.60
244.194,154.70
244.344,154.80
244.493,154.90
244.641,155.00
244.789,155.10
244.935,155.20
245.084,155.30
245.235,155.40
245.388,155.50
245.542,155.60
245.696,155.70
245.848,155.80
245.999,155.90
246.148,156.00
246.298,156.10
246.447,156.20
246.597,156.30
246.749,156.40
246.901,156.50
247.053,156.60
247.205,156.70
247.356,156.80
247.506,156.90
247.654,157.00
247.802,157.10
247.948,157.20
248.096,157.30
248.247,157.40
248.398,157.50
248.551,157.60
248.704,157.70
248.855,157.80
249.006,157.90
249.155,158.00
249.305,158.10
249.453,158.20
249.603,158.30
249.757,158.40
249.912,158.50
250.069,158.60
250.227,158.70
250.384,158.80
250.540,158.90
250.694,159.00
250.848,159.10
251.002,159.20
251.158,159.30
251.318,159.40
251.481,159.50
251.646,159.60
251.811,159.70
251.974,159.80
252.136,159.90
252.297,160.00
252.458,160.10
252.619,160.20
252.781,160.30
252.947,160.40
253.115,160.50
253.284,160.60
253.454,160.70
253.623,160.80
253.791,160.90
253.958,161.00
254.126,161.10
254.294,161.20
254.465,161.30
254.639,161.40
254.814,161.50
254.990,161.60
255.167,161.70
255.341,161.80
255.514,161.90
255.684,162.00
255.853,162.10
256.020,162.20
256.188,162.30
256.360,162.40
256.533,162.50
256.707,162.60
256.881,162.70
257.053,162.80
257.224,162.90
257.393,163.00
257.562,163.10
257.731,163.20
257.903,163.30
258.078,163.40
258.252,163.50
258.426,163.60
258.599,163.70
258.769,163.80
258.937,163.90
259.101,164.00
259.265,164.10
259.427,164.20
259.589,164.30
259.755,164.40
259.922,164.50
260.088,164.60
260.254,164.70
260.417,164.80
260.579,164.90
260.739,165.00
260.898,165.10
261.054,165.20
261.213,165.30
261.375,165.40
261.538,165.50
261.704,165.60
261.869,165.70
262.034,165.80
262.198,165.90
262.360,166.00
262.522,166.10
262.683,166.20
262.846,166.30
263.014,166.40
263.184,166.50
263.356,166.60
263.531,166.70
263.706,166.80
263.880,166.90
264.051,167.00
264.223,167.10
264.394,167.20
264.566,167.30
264.744,167.40
264.924,167.50
265.105,167.60
